term,estimate,std.error,statistic,p.value
unemployment,0.003066072856597379,1.893084317562417e-4,16.196176938095032,5.9852867929004515e-59
vol_1y,0.014346122479714141,0.0010271800686194328,13.966511732451984,2.651330277675504e-44
(Intercept),-0.011741711809391805,0.0013689685800808576,-8.57704989014305,9.819393297904732e-18
inflation,0.01183164960736765,0.0015208128523290245,7.779819580856553,7.306250787522154e-15
fed_rate,0.0011411820846363564,1.597846172974278e-4,7.142002177294241,9.237390960078e-13
gdp_growth,-3.795558402535485e-4,1.0003588443395457e-4,-3.794196876463244,1.4817709821028112e-4
