regime,avg_vol,mean_inflation,mean_gdp_growth,mean_unemployment,mean_fed_rate,n
1,41.58922874017065,0.07818181818181819,0.9663636363636363,4.657272727272727,4.4375,110
2,94.07408390951251,-0.1285714285714286,-6.885714285714285,7.152380952380953,0.39285714285714285,7
3,34.974681889199154,0.06415094339622641,1.2509433962264151,6.922327044025157,0.5518867924528302,106
